Product_ID,Product_Name,Category,Subcategory,Dosage_Form,Strength,Pack_Size,Supplier_ID,Unit_Cost,Selling_Price,Routinely_Stocked,Active
138,Gastro/Antacid - Option D,Gastro/Antacid,Gastro/Antacid type D,Syrup,100mg,12 units,4,216.53,315.76,1,1
139,Gastro/Antacid - Option E,Gastro/Antacid,,Tablet,250mg,100 units,3,101.37,143.43,1,1
140,Gastro/Antacid - Option F,Gastro/Antacid,,Suspension,125mg,50 units,3,128.01,178.93,0,1
141,Gastro/Antacid - Option G,Gastro/Antacid,Gastro/Antacid type G,Tablet,,30 units,4,187.7,251.72,1,1
142,Vitamins & Supplements - Option A,Vitamins & Supplements,,Capsule,100mg,50 units,1,34.86,58.26,1,1
143,Vitamins & Supplements - Option B,Vitamins & Supplements,Vitamins & Supplements type B,Capsule,125mg,10 units,4,237.32,323.71,1,1
144,Vitamins & Supplements - Option C,Vitamins & Supplements,,Syrup,,50 units,3,137.82,219.65,0,1
145,Vitamins & Supplements - Option D,Vitamins & Supplements,,Tablet,250mg,100 units,1,35.61,55.05,1,1
146,Vitamins & Supplements - Option E,Vitamins & Supplements,,Capsule,40mg,50 units,3,78.58,111.1,1,1
147,Vitamins & Supplements - Option F,Vitamins & Supplements,Vitamins & Supplements type F,Capsule,,10 units,2,144.95,242.25,0,1
148,Vitamins & Supplements - Option G,Vitamins & Supplements,,Ointment,,24 units,4,42.84,69.95,1,1
149,Vitamins & Supplements - Option H,Vitamins & Supplements,Vitamins & Supplements type H,Syrup,,50 units,1,208.97,288.99,1,1
150,Vitamins & Supplements - Option I,Vitamins & Supplements,Vitamins & Supplements type I,Tablet,,10 units,4,249.3,410.26,1,1
151,Dermatological - Option A,Dermatological,Dermatological type A,Cream,,50 units,4,36.25,59.95,1,1
152,Dermatological - Option B,Dermatological,,Suspension,,100 units,1,169.22,214.28,1,1
153,Dermatological - Option C,Dermatological,,Injection,,24 units,2,28.45,45.82,0,1
154,Dermatological - Option D,Dermatological,,Tablet,250mg,50 units,1,44.36,65.52,0,1
155,Dermatological - Option E,Dermatological,,Tablet,500mg,12 units,3,78.63,123.41,1,1
156,Dermatological - Option F,Dermatological,,Capsule,,12 units,5,55.69,71.91,1,1
157,Dermatological - Option G,Dermatological,,Cream,,24 units,4,49.11,82.29,1,1
158,Antiseptic/First Aid - Option A,Antiseptic/First Aid,Antiseptic/First Aid type A,Tablet,20mg,20 units,5,134.46,192.52,1,1
159,Antiseptic/First Aid - Option B,Antiseptic/First Aid,,Syrup,100mg,100 units,5,158.58,243.51,1,1
160,Antiseptic/First Aid - Option C,Antiseptic/First Aid,,Tablet,,30 units,1,126.42,170.86,1,1
161,Antiseptic/First Aid - Option D,Antiseptic/First Aid,Antiseptic/First Aid type D,Tablet,250mg,50 units,4,200.05,299.5,1,1
162,Antiseptic/First Aid - Option E,Antiseptic/First Aid,,Suspension,125mg,10 units,4,231.45,341.77,0,1
163,Antiseptic/First Aid - Option F,Antiseptic/First Aid,Antiseptic/First Aid type F,Tablet,20mg,50 units,1,212.87,271.41,1,1
164,Family Planning - Option A,Family Planning,Family Planning type A,Tablet,100mg,24 units,3,209.39,342.45,1,1
165,Family Planning - Option B,Family Planning,Family Planning type B,Ointment,,20 units,5,196.44,273.04,1,1
166,Family Planning - Option C,Family Planning,,Tablet,40mg,50 units,1,138.4,183.2,1,1
167,Family Planning - Option D,Family Planning,,Ointment,100mg,100 units,5,48.28,70.09,1,1
168,Family Planning - Option E,Family Planning,,Tablet,250mg,24 units,1,228.17,289.8,1,1
169,Family Planning - Option F,Family Planning,,Tablet,125mg,50 units,5,72.26,117.76,1,1
170,Family Planning - Option G,Family Planning,,Syrup,100mg,100 units,2,94.54,154.1,1,1
