Sale_ID,Sale_Date,Product_ID,Quantity,Unit_Selling_Price,Revenue,Unit_Cost,Margin
500047,2025-01-03,117,1,91.8,91.8,55.09,36.71
500048,2025-01-03,118,1,256.08,256.08,198.94,57.14
500049,2025-01-03,119,2,198.83,397.66,137.36,122.94
500050,2025-01-03,131,2,333.06,666.12,218.92,228.28
500051,2025-01-03,134,1,37.23,37.23,28.02,9.21
500052,2025-01-03,135,1,272.98,272.98,215.02,57.96
500053,2025-01-03,139,2,143.43,286.86,101.37,84.12
500054,2025-01-03,142,1,58.26,58.26,34.86,23.4
500055,2025-01-03,143,2,323.71,647.42,237.32,172.78
500056,2025-01-03,156,1,71.91,71.91,55.69,16.22
500057,2025-01-03,158,2,192.52,385.04,134.46,116.12
500058,2025-01-03,159,3,243.51,730.53,158.58,254.79
500059,2025-01-03,164,1,342.45,342.45,209.39,133.06
500060,2025-01-03,165,1,273.04,273.04,196.44,76.6
500061,2025-01-03,166,1,183.2,183.2,138.4,44.8
500062,2025-01-03,167,1,70.09,70.09,48.28,21.81
500063,2025-01-03,168,3,289.8,869.4,228.17,184.89
500064,2025-01-03,170,1,154.1,154.1,94.54,59.56
500065,2025-01-04,106,1,249.43,249.43,172.41,77.02
500066,2025-01-04,109,1,246.09,246.09,164.16,81.93
500067,2025-01-04,112,1,175.04,175.04,132.75,42.29
500068,2025-01-04,116,2,50.07,100.14,34.84,30.46
500069,2025-01-04,117,1,91.8,91.8,55.09,36.71
500070,2025-01-04,118,1,256.08,256.08,198.94,57.14
500071,2025-01-04,123,1,315.18,315.18,190.92,124.26
500072,2025-01-04,125,1,86.82,86.82,57.13,29.69
500073,2025-01-04,131,3,333.06,999.18,218.92,342.42
500074,2025-01-04,134,1,37.23,37.23,28.02,9.21
500075,2025-01-04,135,1,272.98,272.98,215.02,57.96
500076,2025-01-04,142,1,58.26,58.26,34.86,23.4
500077,2025-01-04,143,1,323.71,323.71,237.32,86.39
500078,2025-01-04,145,2,55.05,110.1,35.61,38.88
500079,2025-01-04,149,1,288.99,288.99,208.97,80.02
500080,2025-01-04,152,1,214.28,214.28,169.22,45.06
500081,2025-01-04,156,1,71.91,71.91,55.69,16.22
500082,2025-01-04,158,1,192.52,192.52,134.46,58.06
500083,2025-01-04,159,2,243.51,487.02,158.58,169.86
500084,2025-01-04,160,1,170.86,170.86,126.42,44.44
500085,2025-01-04,167,3,70.09,210.27,48.28,65.43
506165,2025-01-04,153,2,45.82,91.64,28.45,34.74
500086,2025-01-05,104,1,401.59,401.59,243.11,158.48
500087,2025-01-05,106,1,249.43,249.43,172.41,77.02
500088,2025-01-05,109,1,246.09,246.09,164.16,81.93
500089,2025-01-05,118,1,256.08,256.08,198.94,57.14
500090,2025-01-05,119,1,198.83,198.83,137.36,61.47
500091,2025-01-05,135,1,272.98,272.98,215.02,57.96
500092,2025-01-05,142,1,58.26,58.26,34.86,23.4
500093,2025-01-05,143,1,323.71,323.71,237.32,86.39
500094,2025-01-05,145,1,55.05,55.05,35.61,19.44
500095,2025-01-05,152,1,214.28,214.28,169.22,45.06
500096,2025-01-05,157,1,82.29,82.29,49.11,33.18
500097,2025-01-05,159,2,243.51,487.02,158.58,169.86
500098,2025-01-05,160,1,170.86,170.86,126.42,44.44
500099,2025-01-05,161,2,299.5,599.0,200.05,198.9
500100,2025-01-05,167,2,70.09,140.18,48.28,43.62
500101,2025-01-05,168,2,289.8,579.6,228.17,123.26
506161,2025-01-05,147,1,242.25,242.25,144.95,97.3
500102,2025-01-06,104,2,401.59,803.18,243.11,316.96
500103,2025-01-06,106,2,249.43,498.86,172.41,154.04
500104,2025-01-06,108,1,289.07,289.07,198.47,90.6
500105,2025-01-06,112,1,175.04,175.04,132.75,42.29
500106,2025-01-06,119,3,198.83,596.49,137.36,184.41
500107,2025-01-06,122,1,185.72,185.72,136.04,49.68
500108,2025-01-06,126,1,61.33,61.33,48.82,12.51
500109,2025-01-06,135,1,272.98,272.98,215.02,57.96
500110,2025-01-06,139,1,143.43,143.43,101.37,42.06
500111,2025-01-06,143,5,323.71,1618.55,237.32,431.95
500112,2025-01-06,146,2,111.1,222.2,78.58,65.04
500113,2025-01-06,151,3,59.95,179.85,36.25,71.1
500114,2025-01-06,155,1,123.41,123.41,78.63,44.78
500115,2025-01-06,156,2,71.91,143.82,55.69,32.44
500116,2025-01-06,159,3,243.51,730.53,158.58,254.79
500117,2025-01-06,160,1,170.86,170.86,126.42,44.44
500118,2025-01-06,164,1,342.45,342.45,209.39,133.06
500119,2025-01-06,166,1,183.2,183.2,138.4,44.8
500120,2025-01-06,167,1,70.09,70.09,48.28,21.81
500121,2025-01-06,170,1,154.1,154.1,94.54,59.56
505939,2025-01-06,120,2,238.12,476.24,172.98,130.28
506062,2025-01-06,136,1,152.73,152.73,102.8,49.93
500122,2025-01-07,106,1,249.43,249.43,172.41,77.02
500123,2025-01-07,110,1,292.13,292.13,215.55,76.58
500124,2025-01-07,112,2,175.04,350.08,132.75,84.58
500125,2025-01-07,117,2,91.8,183.6,55.09,73.42
500126,2025-01-07,118,3,256.08,768.24,198.94,171.42
500127,2025-01-07,119,1,198.83,198.83,137.36,61.47
500128,2025-01-07,123,1,315.18,315.18,190.92,124.26
500129,2025-01-07,125,1,86.82,86.82,57.13,29.69
500130,2025-01-07,127,2,99.85,199.7,61.95,75.8
500131,2025-01-07,131,1,333.06,333.06,218.92,114.14
500132,2025-01-07,134,1,37.23,37.23,28.02,9.21
500133,2025-01-07,135,2,272.98,545.96,215.02,115.92
500134,2025-01-07,138,1,315.76,315.76,216.53,99.23
500135,2025-01-07,142,1,58.26,58.26,34.86,23.4
500136,2025-01-07,148,1,69.95,69.95,42.84,27.11
500137,2025-01-07,149,2,288.99,577.98,208.97,160.04
500138,2025-01-07,150,1,410.26,410.26,249.3,160.96
500139,2025-01-07,156,2,71.91,143.82,55.69,32.44
500140,2025-01-07,157,4,82.29,329.16,49.11,132.72
500141,2025-01-07,158,1,192.52,192.52,134.46,58.06
500142,2025-01-07,159,2,243.51,487.02,158.58,169.86
500143,2025-01-07,164,1,342.45,342.45,209.39,133.06
500144,2025-01-07,166,1,183.2,183.2,138.4,44.8
500145,2025-01-07,167,1,70.09,70.09,48.28,21.81
500146,2025-01-07,168,1,289.8,289.8,228.17,61.63
500147,2025-01-07,170,2,154.1,308.2,94.54,119.12
506063,2025-01-07,136,2,152.73,305.46,102.8,99.86
506132,2025-01-07,144,2,219.65,439.3,137.82,163.66
500148,2025-01-08,106,2,249.43,498.86,172.41,154.04
500149,2025-01-08,110,1,292.13,292.13,215.55,76.58
500150,2025-01-08,112,3,175.04,525.12,132.75,126.87
500151,2025-01-08,114,1,266.44,266.44,183.47,82.97
500152,2025-01-08,116,1,50.07,50.07,34.84,15.23
500153,2025-01-08,118,1,256.08,256.08,198.94,57.14
500154,2025-01-08,119,2,198.83,397.66,137.36,122.94
500155,2025-01-08,123,1,315.18,315.18,190.92,124.26
500156,2025-01-08,127,1,99.85,99.85,61.95,37.9
500157,2025-01-08,129,1,52.38,52.38,39.89,12.49
500158,2025-01-08,131,1,333.06,333.06,218.92,114.14
500159,2025-01-08,134,1,37.23,37.23,28.02,9.21
500160,2025-01-08,135,2,272.98,545.96,215.02,115.92
500161,2025-01-08,139,2,143.43,286.86,101.37,84.12
500162,2025-01-08,142,2,58.26,116.52,34.86,46.8
500163,2025-01-08,143,1,323.71,323.71,237.32,86.39
500164,2025-01-08,145,1,55.05,55.05,35.61,19.44
500165,2025-01-08,149,1,288.99,288.99,208.97,80.02
500166,2025-01-08,152,1,214.28,214.28,169.22,45.06
500167,2025-01-08,156,1,71.91,71.91,55.69,16.22
500168,2025-01-08,158,2,192.52,385.04,134.46,116.12
500169,2025-01-08,159,2,243.51,487.02,158.58,169.86
500170,2025-01-08,163,1,271.41,271.41,212.87,58.54
500171,2025-01-08,167,1,70.09,70.09,48.28,21.81
500172,2025-01-08,170,2,154.1,308.2,94.54,119.12
500173,2025-01-09,101,1,193.32,193.32,118.14,75.18
500174,2025-01-09,104,1,401.59,401.59,243.11,158.48
500175,2025-01-09,106,3,249.43,748.29,172.41,231.06
500176,2025-01-09,112,3,175.04,525.12,132.75,126.87
500177,2025-01-09,116,1,50.07,50.07,34.84,15.23
500178,2025-01-09,118,1,256.08,256.08,198.94,57.14
500179,2025-01-09,123,1,315.18,315.18,190.92,124.26
500180,2025-01-09,131,1,333.06,333.06,218.92,114.14
500181,2025-01-09,134,1,37.23,37.23,28.02,9.21
500182,2025-01-09,142,2,58.26,116.52,34.86,46.8
500183,2025-01-09,143,3,323.71,971.13,237.32,259.17
500184,2025-01-09,145,1,55.05,55.05,35.61,19.44
500185,2025-01-09,149,1,288.99,288.99,208.97,80.02
500186,2025-01-09,152,1,214.28,214.28,169.22,45.06
500187,2025-01-09,156,1,71.91,71.91,55.69,16.22
500188,2025-01-09,158,2,192.52,385.04,134.46,116.12
500189,2025-01-09,159,4,243.51,974.04,158.58,339.72
500190,2025-01-09,161,2,299.5,599.0,200.05,198.9
500191,2025-01-09,164,1,342.45,342.45,209.39,133.06
500192,2025-01-09,166,5,183.2,916.0,138.4,224.0
500193,2025-01-09,167,2,70.09,140.18,48.28,43.62
506133,2025-01-09,144,2,219.65,439.3,137.82,163.66
506188,2025-01-09,154,2,65.52,131.04,44.36,42.32
500194,2025-01-10,101,1,193.32,193.32,118.14,75.18
500195,2025-01-10,104,1,401.59,401.59,243.11,158.48
500196,2025-01-10,106,1,249.43,249.43,172.41,77.02
500197,2025-01-10,112,1,175.04,175.04,132.75,42.29
500198,2025-01-10,117,1,91.8,91.8,55.09,36.71
500199,2025-01-10,119,3,198.83,596.49,137.36,184.41
500200,2025-01-10,127,1,99.85,99.85,61.95,37.9
500201,2025-01-10,131,1,333.06,333.06,218.92,114.14
500202,2025-01-10,138,2,315.76,631.52,216.53,198.46
500203,2025-01-10,141,1,251.72,251.72,187.7,64.02
500204,2025-01-10,142,4,58.26,233.04,34.86,93.6
500205,2025-01-10,143,2,323.71,647.42,237.32,172.78
500206,2025-01-10,150,1,410.26,410.26,249.3,160.96
500207,2025-01-10,156,3,71.91,215.73,55.69,48.66
500208,2025-01-10,157,1,82.29,82.29,49.11,33.18
500209,2025-01-10,158,1,192.52,192.52,134.46,58.06
500210,2025-01-10,159,1,243.51,243.51,158.58,84.93
500211,2025-01-10,164,1,342.45,342.45,209.39,133.06
500212,2025-01-10,166,2,183.2,366.4,138.4,89.6
500213,2025-01-10,167,1,70.09,70.09,48.28,21.81
500214,2025-01-10,170,1,154.1,154.1,94.54,59.56
505822,2025-01-10,102,2,65.53,131.06,45.11,40.84
500215,2025-01-11,106,1,249.43,249.43,172.41,77.02
500216,2025-01-11,110,1,292.13,292.13,215.55,76.58
500217,2025-01-11,112,2,175.04,350.08,132.75,84.58
500218,2025-01-11,116,1,50.07,50.07,34.84,15.23
500219,2025-01-11,117,1,91.8,91.8,55.09,36.71
500220,2025-01-11,118,1,256.08,256.08,198.94,57.14
500221,2025-01-11,119,1,198.83,198.83,137.36,61.47
500222,2025-01-11,130,1,250.88,250.88,199.42,51.46
500223,2025-01-11,134,1,37.23,37.23,28.02,9.21
500224,2025-01-11,135,1,272.98,272.98,215.02,57.96
500225,2025-01-11,138,1,315.76,315.76,216.53,99.23
500226,2025-01-11,151,1,59.95,59.95,36.25,23.7
500227,2025-01-11,152,1,214.28,214.28,169.22,45.06
500228,2025-01-11,155,1,123.41,123.41,78.63,44.78
500229,2025-01-11,156,2,71.91,143.82,55.69,32.44
500230,2025-01-11,166,1,183.2,183.2,138.4,44.8
500231,2025-01-11,168,3,289.8,869.4,228.17,184.89
500232,2025-01-11,170,3,154.1,462.3,94.54,178.68
506134,2025-01-11,144,1,219.65,219.65,137.82,81.83
506189,2025-01-11,154,2,65.52,131.04,44.36,42.32
500233,2025-01-12,101,1,193.32,193.32,118.14,75.18
500234,2025-01-12,105,1,338.49,338.49,242.36,96.13
500235,2025-01-12,109,1,246.09,246.09,164.16,81.93
500236,2025-01-12,110,1,292.13,292.13,215.55,76.58
500237,2025-01-12,118,1,256.08,256.08,198.94,57.14
500238,2025-01-12,119,1,198.83,198.83,137.36,61.47
500239,2025-01-12,123,1,315.18,315.18,190.92,124.26
500240,2025-01-12,134,1,37.23,37.23,28.02,9.21
500241,2025-01-12,135,1,272.98,272.98,215.02,57.96
500242,2025-01-12,141,1,251.72,251.72,187.7,64.02
500243,2025-01-12,142,2,58.26,116.52,34.86,46.8
500244,2025-01-12,149,2,288.99,577.98,208.97,160.04
500245,2025-01-12,156,1,71.91,71.91,55.69,16.22
500246,2025-01-12,158,2,192.52,385.04,134.46,116.12
500247,2025-01-12,159,1,243.51,243.51,158.58,84.93
500248,2025-01-12,164,1,342.45,342.45,209.39,133.06
500249,2025-01-12,166,1,183.2,183.2,138.4,44.8
500250,2025-01-12,167,3,70.09,210.27,48.28,65.43
500251,2025-01-12,168,2,289.8,579.6,228.17,123.26
500252,2025-01-12,170,2,154.1,308.2,94.54,119.12
500253,2025-01-13,101,1,193.32,193.32,118.14,75.18
500254,2025-01-13,104,2,401.59,803.18,243.11,316.96
500255,2025-01-13,106,1,249.43,249.43,172.41,77.02
500256,2025-01-13,110,2,292.13,584.26,215.55,153.16
500257,2025-01-13,112,3,175.04,525.12,132.75,126.87
500258,2025-01-13,117,2,91.8,183.6,55.09,73.42
500259,2025-01-13,118,1,256.08,256.08,198.94,57.14
500260,2025-01-13,119,1,198.83,198.83,137.36,61.47
500261,2025-01-13,122,1,185.72,185.72,136.04,49.68
500262,2025-01-13,127,1,99.85,99.85,61.95,37.9
500263,2025-01-13,135,1,272.98,272.98,215.02,57.96
500264,2025-01-13,139,2,143.43,286.86,101.37,84.12
500265,2025-01-13,143,1,323.71,323.71,237.32,86.39
500266,2025-01-13,145,2,55.05,110.1,35.61,38.88
500267,2025-01-13,151,1,59.95,59.95,36.25,23.7
500268,2025-01-13,155,1,123.41,123.41,78.63,44.78
500269,2025-01-13,158,1,192.52,192.52,134.46,58.06
500270,2025-01-13,161,1,299.5,299.5,200.05,99.45
500271,2025-01-13,166,1,183.2,183.2,138.4,44.8
500272,2025-01-13,168,1,289.8,289.8,228.17,61.63
500273,2025-01-14,104,1,401.59,401.59,243.11,158.48
500274,2025-01-14,105,2,338.49,676.98,242.36,192.26
500275,2025-01-14,106,1,249.43,249.43,172.41,77.02
500276,2025-01-14,110,1,292.13,292.13,215.55,76.58
500277,2025-01-14,112,1,175.04,175.04,132.75,42.29
500278,2025-01-14,116,1,50.07,50.07,34.84,15.23
500279,2025-01-14,117,1,91.8,91.8,55.09,36.71
500280,2025-01-14,118,4,256.08,1024.32,198.94,228.56
500281,2025-01-14,119,3,198.83,596.49,137.36,184.41
500282,2025-01-14,131,2,333.06,666.12,218.92,228.28
500283,2025-01-14,138,1,315.76,315.76,216.53,99.23
500284,2025-01-14,141,1,251.72,251.72,187.7,64.02
500285,2025-01-14,142,1,58.26,58.26,34.86,23.4
500286,2025-01-14,143,2,323.71,647.42,237.32,172.78
500287,2025-01-14,151,2,59.95,119.9,36.25,47.4
500288,2025-01-14,152,1,214.28,214.28,169.22,45.06
500289,2025-01-14,155,1,123.41,123.41,78.63,44.78
500290,2025-01-14,156,1,71.91,71.91,55.69,16.22
500291,2025-01-14,158,3,192.52,577.56,134.46,174.18
500292,2025-01-14,159,4,243.51,974.04,158.58,339.72
500293,2025-01-14,166,1,183.2,183.2,138.4,44.8
500294,2025-01-14,168,2,289.8,579.6,228.17,123.26
506135,2025-01-14,144,1,219.65,219.65,137.82,81.83
500295,2025-01-15,101,1,193.32,193.32,118.14,75.18
500296,2025-01-15,106,1,249.43,249.43,172.41,77.02
500297,2025-01-15,110,1,292.13,292.13,215.55,76.58
500298,2025-01-15,112,2,175.04,350.08,132.75,84.58
500299,2025-01-15,117,1,91.8,91.8,55.09,36.71
500300,2025-01-15,118,2,256.08,512.16,198.94,114.28
500301,2025-01-15,122,1,185.72,185.72,136.04,49.68
500302,2025-01-15,123,2,315.18,630.36,190.92,248.52
500303,2025-01-15,131,1,333.06,333.06,218.92,114.14
500304,2025-01-15,135,2,272.98,545.96,215.02,115.92
500305,2025-01-15,138,1,315.76,315.76,216.53,99.23
500306,2025-01-15,139,2,143.43,286.86,101.37,84.12
500307,2025-01-15,143,1,323.71,323.71,237.32,86.39
500308,2025-01-15,150,1,410.26,410.26,249.3,160.96
500309,2025-01-15,151,2,59.95,119.9,36.25,47.4
500310,2025-01-15,156,1,71.91,71.91,55.69,16.22
500311,2025-01-15,158,2,192.52,385.04,134.46,116.12
500312,2025-01-15,161,1,299.5,299.5,200.05,99.45
500313,2025-01-15,164,2,342.45,684.9,209.39,266.12
500314,2025-01-15,165,1,273.04,273.04,196.44,76.6
500315,2025-01-15,166,3,183.2,549.6,138.4,134.4
500316,2025-01-15,168,1,289.8,289.8,228.17,61.63
500317,2025-01-15,170,2,154.1,308.2,94.54,119.12
506001,2025-01-15,128,2,126.0,252.0,85.72,80.56
506166,2025-01-15,153,1,45.82,45.82,28.45,17.37
500318,2025-01-16,106,1,249.43,249.43,172.41,77.02
500319,2025-01-16,109,2,246.09,492.18,164.16,163.86
500320,2025-01-16,110,1,292.13,292.13,215.55,76.58
500321,2025-01-16,112,1,175.04,175.04,132.75,42.29
500322,2025-01-16,114,1,266.44,266.44,183.47,82.97
500323,2025-01-16,116,2,50.07,100.14,34.84,30.46
500324,2025-01-16,118,3,256.08,768.24,198.94,171.42
500325,2025-01-16,119,3,198.83,596.49,137.36,184.41
500326,2025-01-16,127,1,99.85,99.85,61.95,37.9
500327,2025-01-16,134,1,37.23,37.23,28.02,9.21
500328,2025-01-16,135,1,272.98,272.98,215.02,57.96
500329,2025-01-16,142,2,58.26,116.52,34.86,46.8
500330,2025-01-16,151,5,59.95,299.75,36.25,118.5
500331,2025-01-16,152,1,214.28,214.28,169.22,45.06
500332,2025-01-16,156,2,71.91,143.82,55.69,32.44
500333,2025-01-16,158,1,192.52,192.52,134.46,58.06
500334,2025-01-16,159,1,243.51,243.51,158.58,84.93
500335,2025-01-16,166,3,183.2,549.6,138.4,134.4
500336,2025-01-16,167,4,70.09,280.36,48.28,87.24
500337,2025-01-16,168,2,289.8,579.6,228.17,123.26
500338,2025-01-17,101,1,193.32,193.32,118.14,75.18
500339,2025-01-17,105,1,338.49,338.49,242.36,96.13
500340,2025-01-17,106,1,249.43,249.43,172.41,77.02
500341,2025-01-17,112,3,175.04,525.12,132.75,126.87
500342,2025-01-17,117,1,91.8,91.8,55.09,36.71
500343,2025-01-17,118,1,256.08,256.08,198.94,57.14
500344,2025-01-17,131,2,333.06,666.12,218.92,228.28
500345,2025-01-17,143,1,323.71,323.71,237.32,86.39
500346,2025-01-17,152,1,214.28,214.28,169.22,45.06
500347,2025-01-17,156,3,71.91,215.73,55.69,48.66
500348,2025-01-17,158,1,192.52,192.52,134.46,58.06
500349,2025-01-17,161,1,299.5,299.5,200.05,99.45
500350,2025-01-17,167,1,70.09,70.09,48.28,21.81
500351,2025-01-17,168,1,289.8,289.8,228.17,61.63
500352,2025-01-17,170,2,154.1,308.2,94.54,119.12
505823,2025-01-17,102,1,65.53,65.53,45.11,20.42
506017,2025-01-17,132,2,99.35,198.7,73.24,52.22
506050,2025-01-17,133,2,115.61,231.22,87.93,55.36
506064,2025-01-17,136,2,152.73,305.46,102.8,99.86
506190,2025-01-17,154,2,65.52,131.04,44.36,42.32
500353,2025-01-18,101,1,193.32,193.32,118.14,75.18
500354,2025-01-18,105,1,338.49,338.49,242.36,96.13
500355,2025-01-18,112,1,175.04,175.04,132.75,42.29
500356,2025-01-18,114,1,266.44,266.44,183.47,82.97
500357,2025-01-18,116,1,50.07,50.07,34.84,15.23
500358,2025-01-18,131,2,333.06,666.12,218.92,228.28
500359,2025-01-18,134,2,37.23,74.46,28.02,18.42
500360,2025-01-18,142,2,58.26,116.52,34.86,46.8
500361,2025-01-18,143,1,323.71,323.71,237.32,86.39
500362,2025-01-18,149,1,288.99,288.99,208.97,80.02
500363,2025-01-18,157,1,82.29,82.29,49.11,33.18
500364,2025-01-18,159,2,243.51,487.02,158.58,169.86
500365,2025-01-18,161,1,299.5,299.5,200.05,99.45
500366,2025-01-18,165,1,273.04,273.04,196.44,76.6
500367,2025-01-18,167,1,70.09,70.09,48.28,21.81
500368,2025-01-18,168,1,289.8,289.8,228.17,61.63
500369,2025-01-18,169,1,117.76,117.76,72.26,45.5
500370,2025-01-18,170,1,154.1,154.1,94.54,59.56
505824,2025-01-18,102,1,65.53,65.53,45.11,20.42
505851,2025-01-18,103,1,102.57,102.57,68.4,34.17
500371,2025-01-19,104,1,401.59,401.59,243.11,158.48
500372,2025-01-19,110,1,292.13,292.13,215.55,76.58
500373,2025-01-19,116,2,50.07,100.14,34.84,30.46
500374,2025-01-19,117,1,91.8,91.8,55.09,36.71
500375,2025-01-19,118,1,256.08,256.08,198.94,57.14
500376,2025-01-19,126,1,61.33,61.33,48.82,12.51
500377,2025-01-19,127,2,99.85,199.7,61.95,75.8
500378,2025-01-19,131,1,333.06,333.06,218.92,114.14
500379,2025-01-19,134,1,37.23,37.23,28.02,9.21
500380,2025-01-19,141,1,251.72,251.72,187.7,64.02
500381,2025-01-19,142,1,58.26,58.26,34.86,23.4
500382,2025-01-19,151,2,59.95,119.9,36.25,47.4
500383,2025-01-19,152,1,214.28,214.28,169.22,45.06
500384,2025-01-19,156,1,71.91,71.91,55.69,16.22
500385,2025-01-19,157,1,82.29,82.29,49.11,33.18
500386,2025-01-19,158,3,192.52,577.56,134.46,174.18
500387,2025-01-19,164,1,342.45,342.45,209.39,133.06
500388,2025-01-19,165,1,273.04,273.04,196.44,76.6
500389,2025-01-19,166,2,183.2,366.4,138.4,89.6
500390,2025-01-19,168,2,289.8,579.6,228.17,123.26
500391,2025-01-19,170,1,154.1,154.1,94.54,59.56
500392,2025-01-20,108,1,289.07,289.07,198.47,90.6
500393,2025-01-20,110,2,292.13,584.26,215.55,153.16
500394,2025-01-20,112,1,175.04,175.04,132.75,42.29
500395,2025-01-20,114,1,266.44,266.44,183.47,82.97
500396,2025-01-20,116,2,50.07,100.14,34.84,30.46
500397,2025-01-20,119,1,198.83,198.83,137.36,61.47
500398,2025-01-20,123,1,315.18,315.18,190.92,124.26
500399,2025-01-20,127,1,99.85,99.85,61.95,37.9
500400,2025-01-20,131,1,333.06,333.06,218.92,114.14
500401,2025-01-20,138,1,315.76,315.76,216.53,99.23
500402,2025-01-20,142,1,58.26,58.26,34.86,23.4
500403,2025-01-20,143,2,323.71,647.42,237.32,172.78
500404,2025-01-20,145,1,55.05,55.05,35.61,19.44
500405,2025-01-20,151,1,59.95,59.95,36.25,23.7
500406,2025-01-20,156,1,71.91,71.91,55.69,16.22
500407,2025-01-20,157,1,82.29,82.29,49.11,33.18
500408,2025-01-20,158,3,192.52,577.56,134.46,174.18
500409,2025-01-20,166,2,183.2,366.4,138.4,89.6
500410,2025-01-20,167,3,70.09,210.27,48.28,65.43
500411,2025-01-20,168,1,289.8,289.8,228.17,61.63
500412,2025-01-20,169,1,117.76,117.76,72.26,45.5
506191,2025-01-20,154,2,65.52,131.04,44.36,42.32
500413,2025-01-21,101,1,193.32,193.32,118.14,75.18
500414,2025-01-21,104,1,401.59,401.59,243.11,158.48
500415,2025-01-21,106,1,249.43,249.43,172.41,77.02
500416,2025-01-21,110,3,292.13,876.39,215.55,229.74
500417,2025-01-21,112,1,175.04,175.04,132.75,42.29
500418,2025-01-21,118,1,256.08,256.08,198.94,57.14
500419,2025-01-21,119,2,198.83,397.66,137.36,122.94
500420,2025-01-21,123,1,315.18,315.18,190.92,124.26
500421,2025-01-21,131,1,333.06,333.06,218.92,114.14
500422,2025-01-21,134,1,37.23,37.23,28.02,9.21
500423,2025-01-21,138,1,315.76,315.76,216.53,99.23
500424,2025-01-21,139,1,143.43,143.43,101.37,42.06
500425,2025-01-21,142,1,58.26,58.26,34.86,23.4
500426,2025-01-21,143,2,323.71,647.42,237.32,172.78
500427,2025-01-21,145,1,55.05,55.05,35.61,19.44
500428,2025-01-21,148,1,69.95,69.95,42.84,27.11
500429,2025-01-21,150,1,410.26,410.26,249.3,160.96
500430,2025-01-21,151,1,59.95,59.95,36.25,23.7
500431,2025-01-21,152,1,214.28,214.28,169.22,45.06
500432,2025-01-21,156,4,71.91,287.64,55.69,64.88
500433,2025-01-21,161,1,299.5,299.5,200.05,99.45
500434,2025-01-21,163,1,271.41,271.41,212.87,58.54
500435,2025-01-21,166,4,183.2,732.8,138.4,179.2
505907,2025-01-21,115,1,92.47,92.47,56.54,35.93
506002,2025-01-21,128,2,126.0,252.0,85.72,80.56
500436,2025-01-22,104,1,401.59,401.59,243.11,158.48
500437,2025-01-22,105,1,338.49,338.49,242.36,96.13
500438,2025-01-22,106,2,249.43,498.86,172.41,154.04
500439,2025-01-22,108,1,289.07,289.07,198.47,90.6
